時間帯,年齢,性別,来場者数
2018-07-31 10:00:00,10代,女性,1
2018-07-31 10:00:00,50代,女性,1
2018-07-31 10:00:00,70代以上,女性,1
2018-07-31 11:00:00,30代,女性,1
2018-07-31 14:00:00,30代,女性,1
2018-07-31 16:00:00,30代,女性,1
2018-08-01 09:00:00,50代,女性,1
2018-08-01 12:00:00,30代,女性,1
2018-08-01 16:00:00,30代,男性,1
2018-08-01 16:00:00,70代以上,男性,1
2018-08-02 08:00:00,50代,女性,1
2018-08-02 09:00:00,50代,男性,1
2018-08-02 11:00:00,30代,女性,1
2018-08-02 11:00:00,30代,男性,1
2018-08-02 12:00:00,50代,女性,1
2018-08-02 14:00:00,30代,男性,1
2018-08-02 14:00:00,50代,男性,2
2018-08-02 15:00:00,30代,女性,1
2018-08-02 15:00:00,30代,男性,1
2018-08-03 10:00:00,50代,女性,1
2018-08-03 13:00:00,30代,男性,1
2018-08-03 15:00:00,50代,男性,1
2018-08-03 16:00:00,10代,男性,1
2018-08-04 08:00:00,50代,男性,1
2018-08-04 09:00:00,30代,女性,1
2018-08-04 09:00:00,30代,男性,1
2018-08-04 10:00:00,10代,女性,1
2018-08-04 10:00:00,50代,女性,1
2018-08-04 13:00:00,50代,男性,1
2018-08-04 16:00:00,10代,女性,2
2018-08-04 16:00:00,30代,男性,2
2018-08-05 12:00:00,10代,女性,1
2018-08-05 12:00:00,30代,男性,1
2018-08-05 13:00:00,10代,女性,3
2018-08-05 13:00:00,30代,男性,1
2018-08-05 13:00:00,50代,女性,1
2018-08-05 14:00:00,30代,女性,1
2018-08-05 16:00:00,10代,男性,1
2018-08-07 13:00:00,50代,男性,1
2018-08-07 14:00:00,10代,女性,2
2018-08-07 15:00:00,10代,女性,2
2018-08-07 16:00:00,10代,男性,1
2018-08-07 16:00:00,30代,女性,1
2018-08-07 16:00:00,50代,男性,1
2018-08-07 17:00:00,10代,男性,1
2018-08-08 08:00:00,30代,男性,1
2018-08-08 11:00:00,50代,女性,1
2018-08-08 12:00:00,10代,女性,2
2018-08-08 12:00:00,30代,女性,1
2018-08-08 12:00:00,50代,女性,1
2018-08-09 11:00:00,10代,女性,1
2018-08-09 11:00:00,30代,男性,1
2018-08-09 11:00:00,50代,女性,1
2018-08-10 08:00:00,50代,女性,1
2018-08-10 09:00:00,30代,女性,1
2018-08-10 09:00:00,50代,女性,1
2018-08-10 10:00:00,50代,女性,1
2018-08-10 12:00:00,10代,男性,1
2018-08-10 13:00:00,10代,女性,2
2018-08-10 13:00:00,10代,男性,2
2018-08-10 13:00:00,30代,女性,3
2018-08-10 13:00:00,30代,男性,1
2018-08-10 13:00:00,50代,女性,1
2018-08-10 13:00:00,50代,男性,2
2018-08-10 13:00:00,70代以上,女性,1
2018-08-10 15:00:00,30代,男性,1
2018-08-10 15:00:00,不明,女性,1
2018-08-11 08:00:00,50代,女性,2
2018-08-11 09:00:00,30代,男性,1
2018-08-11 09:00:00,50代,女性,1
2018-08-11 10:00:00,10代,男性,1
2018-08-11 10:00:00,50代,女性,1
2018-08-11 11:00:00,30代,男性,1
2018-08-12 09:00:00,30代,男性,1
2018-08-12 09:00:00,50代,女性,1
2018-08-12 10:00:00,30代,女性,2
2018-08-12 10:00:00,30代,男性,1
2018-08-12 10:00:00,50代,男性,2
2018-08-12 11:00:00,10代,男性,1
2018-08-12 12:00:00,10代,男性,1
2018-08-12 12:00:00,30代,女性,1
2018-08-12 13:00:00,30代,男性,1
2018-08-12 13:00:00,50代,女性,5
2018-08-12 14:00:00,10代,女性,2
2018-08-12 14:00:00,10代,男性,2
2018-08-12 14:00:00,30代,女性,2
2018-08-12 14:00:00,30代,男性,3
2018-08-12 14:00:00,50代,女性,2
2018-08-12 14:00:00,50代,男性,1
2018-08-12 15:00:00,10代,女性,1
2018-08-12 15:00:00,30代,女性,2
2018-08-12 16:00:00,10代,女性,1
2018-08-12 16:00:00,50代,女性,1
2018-08-14 09:00:00,10代,女性,1
2018-08-14 10:00:00,50代,男性,1
2018-08-14 11:00:00,10代,女性,1
2018-08-14 11:00:00,10代,男性,1
2018-08-14 11:00:00,30代,女性,3
2018-08-14 11:00:00,30代,男性,1
2018-08-14 11:00:00,50代,女性,1
2018-08-14 11:00:00,不明,男性,1
2018-08-14 13:00:00,30代,女性,1
2018-08-14 13:00:00,50代,女性,1
2018-08-14 13:00:00,50代,男性,1
2018-08-14 14:00:00,10代,女性,3
2018-08-14 14:00:00,10代,男性,1
2018-08-14 14:00:00,30代,女性,1
2018-08-14 14:00:00,30代,男性,1
2018-08-14 15:00:00,10代,女性,1
2018-08-14 15:00:00,50代,男性,1
2018-08-14 16:00:00,10代,男性,2
2018-08-14 16:00:00,50代,女性,1
2018-08-15 07:00:00,10代,女性,5
2018-08-15 07:00:00,10代,男性,5
2018-08-15 07:00:00,30代,女性,4
2018-08-15 07:00:00,30代,男性,2
2018-08-15 07:00:00,50代,女性,7
2018-08-15 07:00:00,50代,男性,3
2018-08-15 07:00:00,不明,男性,1
2018-08-15 08:00:00,50代,女性,1
2018-08-15 10:00:00,30代,女性,2
2018-08-15 10:00:00,50代,女性,1
