時間帯,年齢,性別,来場者数
2019-04-13 10:00:00,50代,女性,1
2019-04-13 11:00:00,10代,女性,1
2019-04-13 11:00:00,10代,男性,1
2019-04-13 12:00:00,30代,女性,1
2019-04-13 12:00:00,50代,女性,1
2019-04-13 13:00:00,10代,女性,1
2019-04-14 09:00:00,10代,女性,1
2019-04-14 09:00:00,50代,男性,1
2019-04-14 10:00:00,30代,男性,1
2019-04-14 10:00:00,50代,女性,2
2019-04-14 13:00:00,30代,女性,1
2019-04-14 15:00:00,30代,女性,1
2019-04-14 15:00:00,30代,男性,1
2019-04-14 16:00:00,10代,女性,1
2019-04-14 16:00:00,30代,男性,1
2019-04-15 09:00:00,10代,男性,1
2019-04-15 09:00:00,30代,男性,1
2019-04-15 10:00:00,50代,女性,1
2019-04-15 10:00:00,50代,男性,1
2019-04-15 10:00:00,70代以上,女性,1
2019-04-15 12:00:00,50代,女性,1
2019-04-15 13:00:00,30代,女性,1
2019-04-15 13:00:00,50代,男性,1
2019-04-15 13:00:00,70代以上,男性,1
2019-04-15 14:00:00,70代以上,女性,1
2019-04-15 14:00:00,不明,女性,1
2019-04-16 09:00:00,50代,女性,2
2019-04-16 09:00:00,70代以上,女性,1
2019-04-16 10:00:00,30代,男性,1
2019-04-16 10:00:00,50代,女性,1
2019-04-16 12:00:00,50代,女性,1
2019-04-16 12:00:00,50代,男性,1
2019-04-16 12:00:00,70代以上,女性,3
2019-04-17 09:00:00,10代,男性,1
2019-04-17 09:00:00,50代,女性,2
2019-04-17 10:00:00,30代,男性,1
2019-04-17 10:00:00,50代,男性,1
2019-04-17 11:00:00,50代,女性,1
2019-04-17 12:00:00,30代,女性,1
2019-04-17 12:00:00,50代,男性,1
2019-04-17 13:00:00,50代,女性,1
2019-04-17 13:00:00,50代,男性,1
2019-04-18 10:00:00,50代,女性,1
2019-04-18 10:00:00,70代以上,女性,1
2019-04-18 11:00:00,30代,男性,1
2019-04-18 13:00:00,30代,女性,2
2019-04-18 13:00:00,30代,男性,1
2019-04-18 13:00:00,50代,女性,3
2019-04-18 13:00:00,70代以上,男性,2
2019-04-19 09:00:00,50代,男性,1
2019-04-19 09:00:00,70代以上,女性,1
2019-04-19 09:00:00,70代以上,男性,1
2019-04-19 10:00:00,50代,女性,1
2019-04-19 13:00:00,10代,女性,1
2019-04-19 13:00:00,50代,女性,3
2019-04-19 13:00:00,50代,男性,1
2019-04-19 14:00:00,50代,女性,1
2019-04-20 09:00:00,50代,女性,1
2019-04-20 09:00:00,50代,男性,1
2019-04-20 10:00:00,30代,女性,1
2019-04-20 10:00:00,30代,男性,1
2019-04-20 10:00:00,50代,女性,1
2019-04-20 12:00:00,70代以上,女性,1
2019-04-20 13:00:00,30代,女性,1
2019-04-20 13:00:00,30代,男性,1
2019-04-20 14:00:00,30代,男性,2
2019-04-20 14:00:00,50代,女性,1
2019-04-21 09:00:00,30代,女性,1
2019-04-21 09:00:00,30代,男性,1
2019-04-21 09:00:00,50代,女性,1
2019-04-21 10:00:00,30代,女性,1
2019-04-21 10:00:00,50代,女性,1
2019-04-21 12:00:00,10代,男性,1
2019-04-21 12:00:00,30代,女性,3
2019-04-21 12:00:00,30代,男性,1
2019-04-22 09:00:00,30代,女性,1
2019-04-22 09:00:00,70代以上,女性,1
2019-04-22 10:00:00,30代,女性,1
2019-04-22 10:00:00,50代,女性,1
2019-04-22 10:00:00,70代以上,女性,1
2019-04-22 12:00:00,50代,女性,1
2019-04-22 13:00:00,30代,女性,2
2019-04-22 13:00:00,50代,女性,2
2019-04-22 14:00:00,不明,男性,1
2019-04-23 10:00:00,10代,女性,1
2019-04-23 10:00:00,50代,女性,1
2019-04-23 10:00:00,70代以上,女性,2
2019-04-23 10:00:00,70代以上,男性,1
2019-04-23 12:00:00,30代,女性,1
2019-04-23 13:00:00,50代,男性,1
2019-04-23 14:00:00,30代,女性,1
2019-04-23 14:00:00,50代,男性,1
2019-04-23 14:00:00,70代以上,女性,1
2019-04-24 10:00:00,50代,女性,2
2019-04-24 10:00:00,70代以上,男性,1
2019-04-24 11:00:00,10代,女性,1
2019-04-24 11:00:00,10代,男性,1
2019-04-24 12:00:00,30代,女性,1
2019-04-24 12:00:00,50代,女性,1
2019-04-24 13:00:00,10代,女性,1
2019-04-24 13:00:00,30代,女性,1
2019-04-25 09:00:00,30代,女性,2
2019-04-25 09:00:00,50代,男性,1
2019-04-25 10:00:00,10代,男性,1
2019-04-25 10:00:00,50代,女性,1
2019-04-25 11:00:00,30代,女性,1
2019-04-25 12:00:00,50代,女性,1
2019-04-25 13:00:00,10代,男性,1
2019-04-25 15:00:00,30代,女性,1
2019-04-25 15:00:00,50代,男性,1
2019-04-26 09:00:00,10代,女性,1
2019-04-26 10:00:00,10代,女性,1
2019-04-26 10:00:00,50代,男性,1
2019-04-26 10:00:00,70代以上,女性,2
2019-04-26 12:00:00,50代,男性,1
2019-04-26 12:00:00,70代以上,男性,1
2019-04-26 13:00:00,50代,女性,1
2019-04-26 13:00:00,50代,男性,1
2019-04-27 09:00:00,30代,女性,3
2019-04-27 09:00:00,30代,男性,1
2019-04-27 10:00:00,70代以上,女性,1
2019-04-27 12:00:00,30代,女性,1
2019-04-27 12:00:00,50代,女性,2
2019-04-27 12:00:00,50代,男性,1
2019-04-27 12:00:00,70代以上,女性,2
2019-04-28 09:00:00,30代,女性,1
2019-04-28 09:00:00,70代以上,女性,1
2019-04-28 10:00:00,50代,女性,1
2019-04-28 10:00:00,70代以上,女性,1
2019-04-28 12:00:00,30代,男性,3
2019-04-28 13:00:00,30代,女性,1
2019-04-28 13:00:00,50代,女性,2
2019-04-28 14:00:00,50代,女性,1
2019-04-29 10:00:00,10代,男性,1
2019-04-29 10:00:00,30代,女性,1
2019-04-29 10:00:00,50代,女性,1
2019-04-29 11:00:00,10代,女性,1
2019-04-29 11:00:00,30代,男性,1
2019-04-29 12:00:00,10代,女性,1
2019-04-29 14:00:00,10代,女性,1
2019-04-29 14:00:00,10代,男性,1
2019-04-29 15:00:00,30代,女性,1
2019-04-29 16:00:00,30代,男性,1
2019-04-29 16:00:00,50代,女性,1
2019-04-30 09:00:00,50代,女性,1
2019-04-30 10:00:00,10代,女性,1
2019-04-30 10:00:00,10代,男性,1
2019-04-30 11:00:00,30代,女性,1
2019-04-30 11:00:00,30代,男性,1
2019-04-30 12:00:00,30代,女性,1
2019-04-30 12:00:00,50代,女性,1
2019-04-30 13:00:00,30代,女性,1
2019-05-01 09:00:00,10代,女性,1
2019-05-01 09:00:00,50代,男性,1
2019-05-01 10:00:00,30代,女性,1
2019-05-01 13:00:00,10代,女性,1
2019-05-01 13:00:00,50代,女性,1
2019-05-01 13:00:00,50代,男性,2
2019-05-01 14:00:00,30代,女性,1
2019-05-02 09:00:00,30代,女性,2
2019-05-02 10:00:00,30代,男性,1
2019-05-02 11:00:00,30代,女性,1
2019-05-02 11:00:00,70代以上,女性,1
2019-05-02 12:00:00,30代,女性,1
2019-05-02 12:00:00,30代,男性,1
2019-05-02 12:00:00,50代,女性,1
2019-05-02 13:00:00,30代,女性,1
2019-05-02 14:00:00,30代,女性,1
2019-05-03 09:00:00,30代,女性,2
2019-05-03 09:00:00,50代,女性,2
2019-05-03 09:00:00,50代,男性,1
2019-05-03 12:00:00,30代,女性,1
2019-05-03 12:00:00,50代,女性,1
2019-05-03 13:00:00,30代,女性,2
2019-05-03 13:00:00,50代,男性,1
2019-05-04 10:00:00,10代,女性,1
2019-05-04 10:00:00,30代,男性,1
2019-05-04 10:00:00,50代,女性,2
2019-05-04 10:00:00,50代,男性,1
2019-05-04 14:00:00,30代,女性,2
2019-05-04 14:00:00,30代,男性,1
2019-05-04 14:00:00,50代,女性,1
2019-05-04 15:00:00,50代,男性,1
2019-05-05 10:00:00,10代,女性,2
2019-05-05 10:00:00,30代,男性,1
2019-05-05 10:00:00,50代,女性,1
2019-05-05 11:00:00,30代,女性,1
2019-05-05 11:00:00,50代,女性,1
2019-05-05 11:00:00,50代,男性,1
2019-05-05 12:00:00,30代,男性,1
2019-05-05 12:00:00,50代,女性,2
2019-05-05 13:00:00,10代,女性,1
2019-05-06 09:00:00,50代,女性,1
2019-05-06 10:00:00,10代,男性,2
2019-05-06 10:00:00,50代,女性,2
2019-05-06 13:00:00,30代,女性,1
2019-05-06 14:00:00,30代,女性,1
2019-05-06 15:00:00,10代,女性,1
2019-05-06 15:00:00,30代,女性,1
2019-05-06 15:00:00,70代以上,女性,1
2019-05-07 09:00:00,30代,男性,1
2019-05-07 10:00:00,50代,女性,1
2019-05-07 10:00:00,50代,男性,1
2019-05-07 10:00:00,70代以上,女性,1
2019-05-07 11:00:00,10代,女性,1
2019-05-07 11:00:00,50代,男性,1
2019-05-07 12:00:00,30代,女性,1
2019-05-07 12:00:00,50代,女性,1
2019-05-07 14:00:00,10代,女性,1
2019-05-07 14:00:00,70代以上,男性,1
2019-05-08 10:00:00,30代,女性,1
2019-05-08 10:00:00,50代,女性,1
2019-05-08 10:00:00,70代以上,女性,1
2019-05-08 10:00:00,70代以上,男性,1
2019-05-08 12:00:00,50代,女性,1
2019-05-08 12:00:00,50代,男性,1
2019-05-08 12:00:00,70代以上,女性,1
2019-05-08 13:00:00,10代,女性,1
2019-05-08 13:00:00,50代,女性,1
2019-05-08 13:00:00,70代以上,男性,1
2019-05-09 09:00:00,50代,女性,1
2019-05-09 11:00:00,50代,女性,1
2019-05-09 14:00:00,30代,女性,1
2019-05-09 14:00:00,50代,女性,2
2019-05-09 14:00:00,50代,男性,1
2019-05-09 14:00:00,70代以上,男性,1
2019-05-09 15:00:00,10代,男性,1
2019-05-09 15:00:00,30代,女性,1
2019-05-09 16:00:00,10代,女性,1
2019-05-09 16:00:00,30代,男性,1
2019-05-10 10:00:00,50代,男性,1
2019-05-10 11:00:00,50代,女性,2
2019-05-10 11:00:00,50代,男性,1
2019-05-10 12:00:00,10代,女性,1
2019-05-10 12:00:00,10代,男性,1
2019-05-10 12:00:00,30代,女性,2
2019-05-10 12:00:00,50代,男性,1
2019-05-10 13:00:00,70代以上,女性,1
2019-05-11 10:00:00,10代,男性,1
2019-05-11 10:00:00,30代,女性,1
2019-05-11 10:00:00,50代,女性,1
2019-05-11 10:00:00,50代,男性,1
2019-05-11 11:00:00,30代,女性,1
2019-05-11 11:00:00,70代以上,女性,1
2019-05-11 12:00:00,30代,男性,1
2019-05-11 12:00:00,50代,女性,2
2019-05-11 14:00:00,50代,男性,1
2019-05-12 11:00:00,10代,男性,1
2019-05-12 11:00:00,30代,男性,2
2019-05-12 11:00:00,50代,女性,1
2019-05-12 11:00:00,50代,男性,1
2019-05-12 12:00:00,10代,男性,1
2019-05-12 12:00:00,30代,女性,1
2019-05-12 12:00:00,30代,男性,1
2019-05-12 13:00:00,50代,女性,2
2019-05-13 09:00:00,50代,男性,1
2019-05-13 09:00:00,70代以上,男性,1
2019-05-13 10:00:00,10代,女性,1
2019-05-13 10:00:00,50代,女性,1
2019-05-13 10:00:00,70代以上,男性,1
2019-05-13 13:00:00,30代,女性,1
2019-05-13 14:00:00,30代,女性,2
2019-05-13 15:00:00,10代,女性,1
2019-05-13 15:00:00,30代,女性,1
2019-05-13 16:00:00,30代,女性,1
2019-05-14 09:00:00,10代,女性,1
2019-05-14 09:00:00,10代,男性,1
2019-05-14 10:00:00,30代,女性,2
2019-05-14 10:00:00,50代,女性,1
2019-05-14 11:00:00,50代,女性,1
2019-05-14 12:00:00,10代,男性,1
2019-05-14 12:00:00,50代,女性,1
2019-05-14 12:00:00,70代以上,男性,1
2019-05-14 13:00:00,30代,女性,1
2019-05-14 13:00:00,50代,男性,1
2019-05-15 10:00:00,50代,女性,2
2019-05-15 10:00:00,50代,男性,1
2019-05-15 11:00:00,30代,女性,1
2019-05-15 11:00:00,70代以上,女性,1
2019-05-15 12:00:00,70代以上,男性,1
2019-05-15 13:00:00,10代,女性,3
2019-05-15 13:00:00,50代,男性,1
2019-05-16 09:00:00,50代,女性,1
2019-05-16 10:00:00,50代,男性,1
2019-05-16 10:00:00,70代以上,女性,1
2019-05-16 10:00:00,70代以上,男性,1
2019-05-16 12:00:00,70代以上,女性,1
2019-05-16 13:00:00,50代,女性,1
2019-05-16 15:00:00,10代,女性,1
2019-05-16 15:00:00,10代,男性,1
2019-05-16 16:00:00,50代,女性,1
2019-05-17 15:00:00,30代,女性,2
2019-05-17 15:00:00,30代,男性,1
2019-05-17 15:00:00,50代,女性,4
2019-05-17 15:00:00,50代,男性,1
2019-05-17 15:00:00,70代以上,男性,2
2019-05-18 09:00:00,50代,女性,1
2019-05-18 10:00:00,30代,女性,1
2019-05-18 10:00:00,50代,女性,1
2019-05-18 11:00:00,30代,女性,1
2019-05-18 12:00:00,10代,女性,1
2019-05-18 12:00:00,70代以上,女性,1
2019-05-18 14:00:00,30代,女性,2
2019-05-18 14:00:00,50代,男性,1
2019-05-19 11:00:00,30代,女性,1
2019-05-19 11:00:00,30代,男性,1
2019-05-19 11:00:00,50代,女性,1
2019-05-19 12:00:00,10代,女性,2
2019-05-19 12:00:00,10代,男性,1
2019-05-19 14:00:00,10代,女性,1
2019-05-19 14:00:00,30代,女性,1
2019-05-19 14:00:00,30代,男性,1
2019-05-19 15:00:00,10代,女性,1
2019-05-19 15:00:00,30代,男性,1
2019-05-20 09:00:00,30代,男性,1
2019-05-20 09:00:00,50代,女性,2
2019-05-20 10:00:00,50代,男性,1
2019-05-20 12:00:00,70代以上,女性,1
2019-05-20 13:00:00,50代,女性,1
2019-05-20 14:00:00,50代,女性,1
2019-05-20 14:00:00,70代以上,男性,1
2019-05-20 15:00:00,30代,女性,1
2019-05-21 09:00:00,30代,女性,1
2019-05-21 09:00:00,50代,女性,1
2019-05-21 10:00:00,30代,女性,1
2019-05-21 10:00:00,50代,女性,2
2019-05-21 12:00:00,10代,女性,1
2019-05-21 12:00:00,30代,女性,1
2019-05-21 13:00:00,10代,女性,1
2019-05-21 13:00:00,30代,女性,1
2019-05-21 13:00:00,50代,男性,1
2019-05-22 09:00:00,10代,女性,1
2019-05-22 09:00:00,50代,女性,2
2019-05-22 09:00:00,70代以上,男性,1
2019-05-22 10:00:00,70代以上,男性,1
2019-05-22 13:00:00,30代,女性,1
2019-05-22 13:00:00,50代,女性,2
2019-05-22 13:00:00,70代以上,男性,1
2019-05-23 10:00:00,10代,女性,1
2019-05-23 10:00:00,50代,女性,2
2019-05-23 10:00:00,50代,男性,2
2019-05-23 14:00:00,10代,女性,1
2019-05-23 14:00:00,30代,女性,4
2019-05-24 09:00:00,70代以上,男性,1
2019-05-24 10:00:00,30代,女性,2
2019-05-24 13:00:00,30代,女性,1
2019-05-24 13:00:00,50代,女性,1
2019-05-24 13:00:00,70代以上,女性,1
2019-05-24 15:00:00,70代以上,女性,1
2019-05-25 09:00:00,50代,女性,1
2019-05-25 10:00:00,10代,女性,1
2019-05-25 10:00:00,30代,女性,1
2019-05-25 11:00:00,30代,女性,2
2019-05-25 13:00:00,30代,女性,1
2019-05-25 13:00:00,50代,女性,1
2019-05-25 13:00:00,50代,男性,2
2019-05-26 10:00:00,30代,女性,2
2019-05-26 10:00:00,30代,男性,1
2019-05-26 10:00:00,50代,女性,1
2019-05-26 11:00:00,30代,女性,1
2019-05-26 11:00:00,50代,男性,1
2019-05-26 13:00:00,30代,女性,1
2019-05-26 13:00:00,50代,女性,2
2019-05-26 15:00:00,30代,男性,2
2019-05-27 09:00:00,10代,女性,1
2019-05-27 10:00:00,30代,女性,1
2019-05-27 10:00:00,50代,男性,1
2019-05-27 10:00:00,70代以上,女性,2
2019-05-27 11:00:00,10代,男性,1
2019-05-27 11:00:00,30代,女性,1
2019-05-27 11:00:00,50代,男性,1
2019-05-27 14:00:00,10代,女性,1
2019-05-27 14:00:00,30代,男性,1
2019-05-27 14:00:00,50代,女性,1
2019-05-27 14:00:00,70代以上,女性,1
2019-05-27 16:00:00,10代,女性,1
2019-05-28 10:00:00,10代,女性,1
2019-05-28 10:00:00,50代,女性,1
2019-05-28 12:00:00,30代,女性,1
2019-05-28 12:00:00,50代,女性,1
2019-05-28 13:00:00,30代,女性,1
2019-05-29 10:00:00,30代,女性,1
2019-05-29 10:00:00,50代,女性,4
2019-05-29 12:00:00,30代,女性,1
2019-05-29 13:00:00,30代,男性,1
2019-05-29 13:00:00,50代,女性,1
2019-05-29 13:00:00,50代,男性,1
2019-05-30 09:00:00,30代,女性,1
2019-05-30 09:00:00,50代,女性,4
2019-05-30 10:00:00,50代,男性,3
2019-05-30 12:00:00,50代,女性,1
2019-05-30 13:00:00,10代,男性,1
2019-05-30 13:00:00,50代,男性,1
2019-05-30 13:00:00,70代以上,男性,1
2019-05-30 14:00:00,30代,女性,1
2019-05-30 14:00:00,50代,男性,1
2019-05-30 14:00:00,70代以上,女性,1
2019-05-31 09:00:00,30代,女性,1
2019-05-31 09:00:00,50代,女性,2
2019-05-31 10:00:00,50代,男性,1
2019-05-31 11:00:00,50代,男性,1
2019-05-31 12:00:00,70代以上,女性,1
2019-05-31 13:00:00,10代,女性,1
2019-05-31 13:00:00,30代,男性,1
2019-05-31 15:00:00,30代,女性,1
2019-06-01 09:00:00,30代,女性,1
2019-06-01 09:00:00,30代,男性,1
2019-06-01 09:00:00,50代,男性,1
2019-06-01 11:00:00,50代,女性,1
2019-06-01 12:00:00,10代,女性,1
2019-06-01 12:00:00,10代,男性,1
2019-06-01 12:00:00,30代,女性,1
2019-06-01 12:00:00,30代,男性,1
2019-06-01 12:00:00,50代,女性,1
2019-06-02 10:00:00,10代,女性,2
2019-06-02 10:00:00,50代,男性,1
2019-06-02 10:00:00,70代以上,男性,2
2019-06-02 11:00:00,30代,女性,1
2019-06-02 12:00:00,30代,女性,1
2019-06-02 12:00:00,50代,女性,1
2019-06-02 12:00:00,50代,男性,1
2019-06-02 12:00:00,70代以上,女性,1
2019-06-03 10:00:00,30代,女性,1
2019-06-03 10:00:00,50代,女性,1
2019-06-03 10:00:00,70代以上,男性,2
2019-06-03 11:00:00,50代,女性,1
2019-06-03 12:00:00,10代,女性,1
2019-06-03 12:00:00,30代,男性,1
2019-06-03 12:00:00,50代,男性,1
2019-06-03 13:00:00,50代,男性,2
2019-06-04 09:00:00,70代以上,男性,1
2019-06-04 10:00:00,10代,女性,1
2019-06-04 10:00:00,30代,女性,1
2019-06-04 10:00:00,50代,女性,1
2019-06-04 12:00:00,30代,女性,1
2019-06-04 12:00:00,50代,女性,2
2019-06-04 13:00:00,30代,女性,1
2019-06-04 13:00:00,70代以上,女性,1
2019-06-05 11:00:00,10代,男性,1
2019-06-05 11:00:00,30代,男性,1
2019-06-05 11:00:00,50代,男性,1
2019-06-05 11:00:00,70代以上,女性,2
2019-06-05 14:00:00,10代,男性,1
2019-06-05 14:00:00,30代,女性,1
2019-06-05 14:00:00,50代,女性,1
2019-06-05 14:00:00,70代以上,女性,1
2019-06-05 14:00:00,70代以上,男性,1
2019-06-06 10:00:00,30代,女性,1
2019-06-06 10:00:00,50代,女性,2
2019-06-06 11:00:00,30代,男性,1
2019-06-06 11:00:00,50代,女性,1
2019-06-06 12:00:00,70代以上,女性,1
2019-06-06 14:00:00,30代,女性,1
2019-06-06 14:00:00,30代,男性,1
2019-06-06 14:00:00,70代以上,男性,1
2019-06-07 09:00:00,30代,女性,1
2019-06-07 09:00:00,50代,女性,1
2019-06-07 09:00:00,70代以上,男性,1
2019-06-07 10:00:00,50代,女性,2
2019-06-07 11:00:00,70代以上,男性,1
2019-06-07 13:00:00,10代,女性,2
2019-06-07 14:00:00,30代,男性,1
2019-06-07 14:00:00,50代,女性,2
2019-06-08 09:00:00,50代,女性,3
2019-06-08 10:00:00,30代,男性,1
2019-06-08 10:00:00,70代以上,女性,1
2019-06-08 10:00:00,70代以上,男性,1
2019-06-08 12:00:00,10代,女性,1
2019-06-08 12:00:00,30代,男性,1
2019-06-08 12:00:00,50代,女性,3
2019-06-09 09:00:00,50代,女性,1
2019-06-09 10:00:00,50代,男性,1
2019-06-09 11:00:00,30代,女性,1
2019-06-09 11:00:00,50代,男性,1
2019-06-09 11:00:00,70代以上,男性,1
2019-06-09 12:00:00,30代,男性,1
2019-06-09 12:00:00,50代,女性,2
2019-06-09 12:00:00,50代,男性,1
2019-06-09 12:00:00,70代以上,男性,1
2019-06-10 09:00:00,50代,女性,1
2019-06-10 10:00:00,30代,女性,1
2019-06-10 10:00:00,50代,男性,2
2019-06-10 10:00:00,70代以上,女性,1
2019-06-10 13:00:00,10代,女性,1
2019-06-10 13:00:00,30代,女性,1
2019-06-10 13:00:00,50代,女性,1
2019-06-10 15:00:00,50代,女性,2
2019-06-11 13:00:00,30代,女性,1
2019-06-11 13:00:00,50代,女性,2
2019-06-11 13:00:00,50代,男性,1
2019-06-12 09:00:00,50代,男性,1
2019-06-12 09:00:00,70代以上,男性,1
2019-06-12 10:00:00,30代,女性,1
2019-06-12 11:00:00,70代以上,女性,2
2019-06-12 12:00:00,30代,女性,2
2019-06-12 12:00:00,30代,男性,1
2019-06-12 12:00:00,50代,女性,1
2019-06-12 12:00:00,70代以上,男性,1
2019-06-13 10:00:00,10代,女性,1
2019-06-13 10:00:00,30代,女性,1
2019-06-13 10:00:00,50代,女性,1
2019-06-13 10:00:00,50代,男性,1
2019-06-13 10:00:00,不明,女性,1
2019-06-13 13:00:00,10代,女性,1
2019-06-13 13:00:00,50代,男性,2
2019-06-13 15:00:00,10代,男性,1
2019-06-13 15:00:00,30代,男性,1
2019-06-13 15:00:00,70代以上,女性,1
2019-06-14 09:00:00,30代,男性,1
2019-06-14 09:00:00,70代以上,男性,1
2019-06-14 10:00:00,30代,女性,1
2019-06-14 10:00:00,50代,女性,1
2019-06-14 13:00:00,30代,女性,1
2019-06-14 13:00:00,50代,女性,1
2019-06-14 14:00:00,30代,女性,2
2019-06-14 14:00:00,50代,女性,1
2019-06-15 09:00:00,30代,男性,1
2019-06-15 10:00:00,30代,男性,1
2019-06-15 11:00:00,30代,男性,1
2019-06-15 12:00:00,10代,女性,1
2019-06-15 12:00:00,30代,女性,2
2019-06-15 12:00:00,30代,男性,1
2019-06-16 10:00:00,50代,女性,3
2019-06-16 10:00:00,50代,男性,1
2019-06-16 11:00:00,30代,女性,1
2019-06-16 12:00:00,10代,女性,1
2019-06-16 12:00:00,30代,男性,1
2019-06-16 14:00:00,30代,女性,2
2019-06-16 14:00:00,30代,男性,1
2019-06-17 10:00:00,50代,女性,1
2019-06-17 11:00:00,30代,女性,1
2019-06-17 11:00:00,50代,男性,1
2019-06-17 11:00:00,70代以上,女性,1
2019-06-17 12:00:00,30代,女性,2
2019-06-17 12:00:00,30代,男性,1
2019-06-17 12:00:00,50代,男性,1
2019-06-17 12:00:00,70代以上,女性,2
2019-06-18 09:00:00,30代,女性,1
2019-06-18 09:00:00,30代,男性,2
2019-06-18 09:00:00,50代,女性,1
2019-06-18 10:00:00,50代,女性,1
2019-06-18 12:00:00,30代,女性,1
2019-06-18 12:00:00,50代,女性,3
2019-06-19 09:00:00,30代,女性,3
2019-06-19 09:00:00,50代,女性,1
2019-06-19 10:00:00,10代,女性,1
2019-06-19 13:00:00,10代,女性,2
2019-06-19 13:00:00,30代,男性,1
2019-06-19 13:00:00,50代,女性,1
2019-06-19 15:00:00,10代,女性,1
2019-06-19 15:00:00,50代,女性,1
2019-06-20 09:00:00,30代,女性,1
2019-06-20 09:00:00,50代,女性,1
2019-06-20 10:00:00,10代,男性,1
2019-06-20 10:00:00,50代,女性,1
2019-06-20 10:00:00,50代,男性,1
2019-06-20 12:00:00,50代,女性,1
2019-06-20 12:00:00,50代,男性,1
2019-06-20 13:00:00,30代,女性,1
2019-06-20 13:00:00,50代,男性,2
2019-06-21 12:00:00,10代,女性,1
2019-06-21 12:00:00,30代,女性,1
2019-06-21 12:00:00,50代,女性,1
2019-06-21 13:00:00,10代,男性,1
2019-06-21 13:00:00,30代,女性,1
2019-06-21 13:00:00,30代,男性,1
2019-06-21 13:00:00,50代,女性,2
2019-06-22 09:00:00,30代,女性,1
2019-06-22 10:00:00,50代,男性,1
2019-06-22 10:00:00,70代以上,男性,1
2019-06-22 11:00:00,30代,男性,1
2019-06-22 12:00:00,30代,男性,1
2019-06-22 14:00:00,30代,女性,1
2019-06-22 14:00:00,30代,男性,1
2019-06-22 15:00:00,30代,男性,1
2019-06-22 15:00:00,50代,女性,1
2019-06-23 09:00:00,30代,女性,1
2019-06-23 09:00:00,50代,男性,1
2019-06-23 10:00:00,30代,男性,1
2019-06-23 10:00:00,50代,女性,1
2019-06-23 12:00:00,30代,女性,1
2019-06-23 12:00:00,50代,男性,2
2019-06-23 13:00:00,30代,男性,1
2019-06-23 13:00:00,50代,男性,2
2019-06-24 09:00:00,50代,女性,1
2019-06-24 09:00:00,50代,男性,1
2019-06-24 10:00:00,50代,女性,2
2019-06-24 10:00:00,70代以上,女性,1
2019-06-24 12:00:00,10代,男性,1
2019-06-24 12:00:00,50代,男性,1
2019-06-24 12:00:00,70代以上,女性,1
2019-06-24 12:00:00,70代以上,男性,1
2019-06-24 14:00:00,30代,女性,1
2019-06-25 09:00:00,30代,女性,1
2019-06-25 09:00:00,70代以上,男性,1
2019-06-25 10:00:00,30代,女性,1
2019-06-25 10:00:00,50代,男性,1
2019-06-25 11:00:00,50代,男性,1
2019-06-25 13:00:00,30代,女性,1
2019-06-25 13:00:00,50代,女性,2
2019-06-25 15:00:00,30代,女性,1
2019-06-26 09:00:00,30代,女性,1
2019-06-26 09:00:00,30代,男性,1
2019-06-26 10:00:00,50代,女性,3
2019-06-26 12:00:00,30代,女性,1
2019-06-26 12:00:00,50代,女性,1
2019-06-26 13:00:00,30代,男性,1
2019-06-26 14:00:00,10代,女性,1
2019-06-26 14:00:00,30代,女性,1
2019-06-26 15:00:00,50代,男性,1
2019-06-27 09:00:00,50代,女性,1
2019-06-27 09:00:00,50代,男性,1
2019-06-27 10:00:00,50代,女性,1
2019-06-27 14:00:00,10代,女性,2
2019-06-27 14:00:00,10代,男性,1
2019-06-27 15:00:00,10代,男性,1
2019-06-27 16:00:00,50代,女性,1
2019-06-27 16:00:00,50代,男性,1
2019-06-28 09:00:00,30代,女性,1
2019-06-28 09:00:00,30代,男性,1
2019-06-28 09:00:00,50代,男性,2
2019-06-28 09:00:00,70代以上,女性,1
2019-06-28 13:00:00,30代,男性,1
2019-06-28 13:00:00,50代,女性,1
2019-06-28 13:00:00,50代,男性,2
2019-06-28 15:00:00,30代,女性,1
2019-06-28 16:00:00,10代,男性,1
2019-06-29 09:00:00,30代,女性,2
2019-06-29 09:00:00,50代,男性,1
2019-06-29 10:00:00,10代,女性,1
2019-06-29 11:00:00,30代,女性,1
2019-06-29 11:00:00,50代,女性,1
2019-06-29 12:00:00,10代,女性,1
2019-06-29 12:00:00,50代,男性,1
2019-06-29 13:00:00,30代,女性,1
2019-06-29 13:00:00,50代,女性,1
2019-06-30 09:00:00,10代,女性,1
2019-06-30 09:00:00,30代,女性,1
2019-06-30 10:00:00,30代,女性,2
2019-06-30 11:00:00,30代,女性,1
2019-06-30 11:00:00,50代,男性,1
2019-06-30 13:00:00,10代,男性,1
2019-06-30 13:00:00,30代,男性,1
2019-06-30 15:00:00,10代,女性,1
2019-06-30 15:00:00,30代,女性,1
2019-06-30 15:00:00,50代,女性,1
2019-07-01 09:00:00,50代,男性,1
2019-07-01 12:00:00,30代,女性,2
2019-07-01 12:00:00,50代,女性,1
2019-07-01 13:00:00,50代,女性,1
2019-07-01 14:00:00,10代,女性,1
2019-07-01 14:00:00,50代,女性,1
2019-07-01 14:00:00,50代,男性,1
2019-07-01 14:00:00,70代以上,女性,1
2019-07-01 14:00:00,70代以上,男性,1
2019-07-01 15:00:00,50代,女性,1
2019-07-02 11:00:00,10代,女性,1
