取引日時,商品カテゴリ,商品ID,商品名,商品単価,原価,数量
2020/04/04 16:24:30,入場料,8000181,入場料600円,600,,1
2020/04/04 16:25:00,カフェ,8000150,セット　最中アイス・冷抹茶,900,207,1
2020/04/04 16:25:00,入場料,8000181,入場料600円,600,,1
2020/04/04 16:27:22,カフェ,44,限定茶菓子,1000,351.8,2
2020/04/04 16:36:01,カフェ,8000041,セット　どら焼き・アイスコーヒー,800,236,1
2020/04/04 16:36:01,カフェ,38,セット　ロシアケーキ・ほうじ茶,800,220.1,1
2020/04/04 16:36:01,カフェ,44,限定茶菓子,1000,351.8,2
2020/04/04 16:36:01,入場料,8000181,入場料600円,600,,2
2020/04/04 16:36:26,カフェ,36,抹茶,600,151.2,2
2020/04/04 16:49:43,入場料,8000181,入場料600円,600,,1
2020/04/04 17:12:37,入場料,8000181,入場料600円,600,,1
2020/04/04 18:05:58,入場料,8000181,入場料600円,600,,1
2020/04/05 9:01:21,入場料,8000181,入場料600円,600,,1
2020/04/05 9:56:26,入場料,8000181,入場料600円,600,,2
2020/04/05 10:09:12,入場料,8000181,入場料600円,600,,1
2020/04/05 10:15:51,入場料,8000181,入場料600円,600,,2
2020/04/05 10:29:55,入場料,8000181,入場料600円,600,,1
2020/04/05 10:34:42,入場料,8000184,減免0円　敬老,0,,1
2020/04/05 10:49:40,入場料,8000181,入場料600円,600,,2
2020/04/05 11:01:16,入場料,8000181,入場料600円,600,,2
2020/04/05 11:15:30,カフェ,8000095,主菓子セット,1000,,2
2020/04/05 11:23:10,カフェ,8000095,主菓子セット,1000,,3
2020/04/05 11:24:36,入場料,8000181,入場料600円,600,,2
2020/04/05 11:26:57,入場料,8000181,入場料600円,600,,1
2020/04/05 11:26:57,カフェ,36,抹茶,600,151.2,1
2020/04/05 11:41:35,物販,8000223,どら焼き(3個・箱入),1000,582,1
2020/04/05 11:49:54,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/05 11:49:54,カフェ,37,セット　ロシアケーキ・コーヒー,800,264.2,1
2020/04/05 11:49:54,入場料,8000193,減免　その他特例,0,,1
2020/04/05 11:49:54,入場料,8000185,減免0円　手帳,0,,1
2020/04/05 12:01:44,入場料,8000184,減免0円　敬老,0,,1
2020/04/05 12:11:24,入場料,8000181,入場料600円,600,,2
2020/04/05 12:22:57,入場料,8000182,入場料500円,500,,2
2020/04/05 13:11:42,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/05 13:11:42,入場料,8000181,入場料600円,600,,1
2020/04/05 13:21:19,入場料,8000184,減免0円　敬老,0,,2
2020/04/05 13:27:35,入場料,8000181,入場料600円,600,,2
2020/04/05 13:32:56,入場料,8000181,入場料600円,600,,3
2020/04/05 13:33:34,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/05 13:33:34,カフェ,8000095,主菓子セット,1000,,1
2020/04/05 13:45:42,カフェ,36,抹茶,600,151.2,2
2020/04/05 13:45:47,入場料,8000181,入場料600円,600,,4
2020/04/05 13:49:03,入場料,8000181,入場料600円,600,,2
2020/04/05 13:53:26,カフェ,36,抹茶,600,151.2,1
2020/04/05 14:02:43,入場料,8000184,減免0円　敬老,0,,2
2020/04/05 14:09:20,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/05 14:09:20,カフェ,33,どら焼,300,194,1
2020/04/05 14:52:53,入場料,8000181,入場料600円,600,,1
2020/04/05 14:58:44,入場料,8000181,入場料600円,600,,1
2020/04/05 15:00:01,入場料,8000181,入場料600円,600,,2
2020/04/05 15:05:52,入場料,8000181,入場料600円,600,,2
2020/04/05 15:07:20,入場料,8000181,入場料600円,600,,2
2020/04/05 15:15:02,入場料,8000182,入場料500円,500,,2
2020/04/05 15:15:02,入場料,8000181,入場料600円,600,,2
2020/04/05 15:21:28,入場料,8000181,入場料600円,600,,2
2020/04/05 15:25:03,入場料,8000181,入場料600円,600,,2
2020/04/05 15:27:38,入場料,8000181,入場料600円,600,,1
2020/04/05 15:28:00,カフェ,8000041,セット　どら焼き・アイスコーヒー,800,236,1
2020/04/05 15:28:00,カフェ,8000152,セット　最中アイス・抹茶,900,266,1
2020/04/05 15:38:39,カフェ,37,セット　ロシアケーキ・コーヒー,800,264.2,1
2020/04/05 15:38:39,カフェ,38,セット　ロシアケーキ・ほうじ茶,800,220.1,1
2020/04/05 16:17:14,入場料,8000181,入場料600円,600,,2
2020/04/05 16:33:21,入場料,8000184,減免0円　敬老,0,,1
2020/04/05 16:33:21,カフェ,8000095,主菓子セット,1000,,2
2020/04/05 16:33:21,入場料,8000181,入場料600円,600,,3
2020/04/05 17:07:19,物販,8000218,関西の名園,1320,1036,1
2020/04/05 17:46:24,入場料,8000182,入場料500円,500,,1
2020/04/05 17:46:24,入場料,8000181,入場料600円,600,,2
2020/04/06 10:15:55,入場料,8000181,入場料600円,600,,3
2020/04/06 11:11:58,入場料,8000181,入場料600円,600,,1
2020/04/06 11:47:35,入場料,8000181,入場料600円,600,,2
2020/04/06 12:29:30,入場料,8000181,入場料600円,600,,1
2020/04/06 12:30:06,入場料,8000181,入場料600円,600,,2
2020/04/06 12:38:19,入場料,8000184,減免0円　敬老,0,,1
2020/04/06 12:47:23,入場料,8000181,入場料600円,600,,1
2020/04/06 13:11:26,カフェ,8000040,冷抹茶,600,207,1
2020/04/06 13:14:32,入場料,8000181,入場料600円,600,,1
2020/04/06 13:15:54,入場料,8000181,入場料600円,600,,1
2020/04/06 13:17:19,入場料,8000181,入場料600円,600,,1
2020/04/06 13:18:21,入場料,8000184,減免0円　敬老,0,,1
2020/04/06 13:27:00,入場料,8000181,入場料600円,600,,3
2020/04/06 13:38:08,入場料,8000181,入場料600円,600,,1
2020/04/06 13:41:07,入場料,8000185,減免0円　手帳,0,,2
2020/04/06 13:43:37,入場料,8000184,減免0円　敬老,0,,1
2020/04/06 13:43:46,入場料,8000181,入場料600円,600,,2
2020/04/06 13:43:46,カフェ,36,抹茶,600,151.2,2
2020/04/06 13:46:57,入場料,8000181,入場料600円,600,,2
2020/04/06 13:47:30,入場料,8000181,入場料600円,600,,1
2020/04/06 14:10:14,入場料,8000181,入場料600円,600,,1
2020/04/06 14:21:22,カフェ,8000042,セット　ロシアケーキ・アイスコーヒー,800,223.5,1
2020/04/06 14:21:22,カフェ,37,セット　ロシアケーキ・コーヒー,800,264.2,2
2020/04/06 14:36:47,入場料,8000184,減免0円　敬老,0,,1
2020/04/06 14:36:47,入場料,8000181,入場料600円,600,,1
2020/04/06 14:37:25,入場料,8000181,入場料600円,600,,1
2020/04/06 15:08:09,入場料,8000185,減免0円　手帳,0,,2
2020/04/06 15:08:28,入場料,8000184,減免0円　敬老,0,,2
2020/04/06 15:20:11,入場料,8000181,入場料600円,600,,2
2020/04/06 15:29:21,入場料,8000181,入場料600円,600,,2
2020/04/06 15:30:33,入場料,8000185,減免0円　手帳,0,,2
2020/04/06 16:02:58,カフェ,8000039,アイスコーヒー,600,41.3,1
