タイムスタンプ,本キャンペーン(毎月28日は35歳未満の方無料)をどこで知りましたか？
2021-07-28 13:11:33,その他
2021-07-28 13:11:42,その他
2021-07-28 14:41:04,知らなかった
2021-07-28 14:41:20,知らなかった
2021-07-28 15:08:08,公式ホームページ
2021-07-28 15:55:48,チラシ
2021-07-28 17:01:14,知らなかった
2021-07-28 17:05:11,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-07-28 17:05:28,知らなかった
2021-10-28 9:02:54,公式ホームページ
2021-10-28 9:07:52,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-10-28 10:24:25,公式ホームページ
2021-10-28 10:29:01,公式ホームページ
2021-10-28 10:32:51,公式Instagram
2021-10-28 10:32:58,公式ホームページ
2021-10-28 10:33:06,公式ホームページ
2021-10-28 11:54:18,公式ホームページ
2021-10-28 13:02:08,知らなかった
2021-10-28 13:27:13,知らなかった
2021-10-28 13:46:49,公式ホームページ
2021-10-28 15:01:19,公式ホームページ
2021-10-28 15:05:06,公式ホームページ
2021-10-28 15:05:25,公式ホームページ
2021-10-28 15:21:17,他のウェブサイト
2021-10-28 15:21:25,知らなかった
2021-10-28 15:34:59,知らなかった
2021-10-28 15:39:33,知らなかった
2021-10-28 16:06:55,知らなかった
2021-10-28 16:06:59,知らなかった
2021-10-28 16:07:05,お知り合い
2021-10-28 16:07:11,公式ホームページ
2021-03-28 9:02:38,公式ホームページ
2021-03-28 9:02:49,公式Twitter
2021-03-28 9:02:58,公式ホームページ
2021-03-28 9:37:03,チラシ
2021-03-28 10:23:18,知らなかった
2021-03-28 10:40:07,知らなかった
2021-03-28 10:47:58,知らなかった
2021-03-28 10:56:41,公式ホームページ
2021-03-28 11:00:35,公式ホームページ
2021-03-28 11:48:36,知らなかった
2021-03-28 11:49:55,知らなかった
2021-03-28 11:54:48,知らなかった
2021-03-28 12:19:25,チラシ
2021-03-28 12:58:12,知らなかった
2021-03-28 13:11:24,知らなかった
2021-03-28 13:20:45,公式ホームページ
2021-03-28 13:59:25,知らなかった
2021-03-28 14:14:39,知らなかった
2021-03-28 14:29:41,公式ホームページ
2021-03-28 14:29:54,公式Facebook
2021-03-28 14:30:02,知らなかった
2021-03-28 14:30:07,知らなかった
2021-03-28 14:30:15,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-03-28 14:30:22,知らなかった
2021-03-28 14:30:27,チラシ
2021-03-28 14:30:36,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-03-28 14:30:49,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-03-28 14:49:13,知らなかった
2021-03-28 14:50:38,公式ホームページ
2021-03-28 14:58:14,知らなかった
2021-03-28 15:02:32,公式ホームページ
